Sentence_ID,Sentence,Word_ID,Word,Surprisal value
1,"批评学生的教官之后,那位督导打算取消这次活动",1,批评,8.187943458557129
1,"批评学生的教官之后,那位督导打算取消这次活动",2,学生,8.998923301696777
1,"批评学生的教官之后,那位督导打算取消这次活动",3,的,13.676547050476074
1,"批评学生的教官之后,那位督导打算取消这次活动",4,教官,18.031780242919922
1,"批评学生的教官之后,那位督导打算取消这次活动",5,之后,12.644322395324707
1,"批评学生的教官之后,那位督导打算取消这次活动",6,",",15.085451126098633
1,"批评学生的教官之后,那位督导打算取消这次活动",7,那位,11.061179161071777
1,"批评学生的教官之后,那位督导打算取消这次活动",8,督导,11.03246021270752
2,"举报主管的秘书之前,那个员工反复确认了录音证据",1,举报,6.438000202178955
2,"举报主管的秘书之前,那个员工反复确认了录音证据",2,主管,8.681568145751953
2,"举报主管的秘书之前,那个员工反复确认了录音证据",3,的,7.984316825866699
2,"举报主管的秘书之前,那个员工反复确认了录音证据",4,秘书,7.935244560241699
2,"举报主管的秘书之前,那个员工反复确认了录音证据",5,之前,9.317407608032227
2,"举报主管的秘书之前,那个员工反复确认了录音证据",6,",",15.590937614440918
2,"举报主管的秘书之前,那个员工反复确认了录音证据",7,那个,10.18517780303955
2,"举报主管的秘书之前,那个员工反复确认了录音证据",8,员工,10.33562183380127
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",1,陪伴,8.3308744430542
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",2,考生,5.785717964172363
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",3,的,7.996129035949707
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",4,家长,8.054463386535645
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",5,之外,15.988994598388672
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",6,",",15.14598560333252
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",7,那位,8.508012771606445
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",8,主任,6.21990442276001
