Sentence_ID,Sentence,Word_ID,Word,Surprisal value
1,"批评学生的教官之后,那位督导打算取消这次活动",1,批评,8.739815711975098
1,"批评学生的教官之后,那位督导打算取消这次活动",2,学生,8.165451049804688
1,"批评学生的教官之后,那位督导打算取消这次活动",3,的,11.204928398132324
1,"批评学生的教官之后,那位督导打算取消这次活动",4,教官,18.62330436706543
1,"批评学生的教官之后,那位督导打算取消这次活动",5,之后,10.413183212280273
1,"批评学生的教官之后,那位督导打算取消这次活动",6,",",12.935519218444824
1,"批评学生的教官之后,那位督导打算取消这次活动",7,那位,10.458742141723633
1,"批评学生的教官之后,那位督导打算取消这次活动",8,督导,9.657914161682129
2,"举报主管的秘书之前,那个员工反复确认了录音证据",1,举报,5.092207431793213
2,"举报主管的秘书之前,那个员工反复确认了录音证据",2,主管,9.622629165649414
2,"举报主管的秘书之前,那个员工反复确认了录音证据",3,的,7.587311267852783
2,"举报主管的秘书之前,那个员工反复确认了录音证据",4,秘书,6.394814968109131
2,"举报主管的秘书之前,那个员工反复确认了录音证据",5,之前,10.222043991088867
2,"举报主管的秘书之前,那个员工反复确认了录音证据",6,",",12.941863059997559
2,"举报主管的秘书之前,那个员工反复确认了录音证据",7,那个,8.570073127746582
2,"举报主管的秘书之前,那个员工反复确认了录音证据",8,员工,10.004380226135254
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",1,陪伴,8.10332202911377
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",2,考生,6.656821250915527
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",3,的,7.396868705749512
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",4,家长,7.043844699859619
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",5,之外,11.190107345581055
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",6,",",11.904996871948242
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",7,那位,9.270639419555664
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",8,主任,6.761641025543213
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",1,出卖,16.92584228515625
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",2,雇主,9.515142440795898
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",3,的,7.517338752746582
