Sentence_ID,Sentence,Word_ID,Word,Surprisal value
1,"批评学生的教官之后,那位督导打算取消这次活动",1,批评,16.5093936920166
1,"批评学生的教官之后,那位督导打算取消这次活动",2,学生,11.092377662658691
1,"批评学生的教官之后,那位督导打算取消这次活动",3,的,13.767168998718262
1,"批评学生的教官之后,那位督导打算取消这次活动",4,教官,18.68573760986328
1,"批评学生的教官之后,那位督导打算取消这次活动",5,之后,8.636151313781738
1,"批评学生的教官之后,那位督导打算取消这次活动",6,",",14.631318092346191
1,"批评学生的教官之后,那位督导打算取消这次活动",7,那位,5.904953479766846
1,"批评学生的教官之后,那位督导打算取消这次活动",8,督导,8.702314376831055
2,"举报主管的秘书之前,那个员工反复确认了录音证据",1,举报,14.900839805603027
2,"举报主管的秘书之前,那个员工反复确认了录音证据",2,主管,2.538926124572754
2,"举报主管的秘书之前,那个员工反复确认了录音证据",3,的,8.780961990356445
2,"举报主管的秘书之前,那个员工反复确认了录音证据",4,秘书,9.21222972869873
2,"举报主管的秘书之前,那个员工反复确认了录音证据",5,之前,8.208325386047363
2,"举报主管的秘书之前,那个员工反复确认了录音证据",6,",",15.932350158691406
2,"举报主管的秘书之前,那个员工反复确认了录音证据",7,那个,8.36612319946289
2,"举报主管的秘书之前,那个员工反复确认了录音证据",8,员工,10.001493453979492
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",1,陪伴,11.984984397888184
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",2,考生,6.415616512298584
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",3,的,9.718201637268066
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",4,家长,8.577836990356445
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",5,之外,8.800689697265625
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",6,",",19.14484977722168
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",7,那位,5.460561275482178
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",8,主任,6.352278232574463
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",1,出卖,17.979019165039062
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",2,雇主,7.2873687744140625
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",3,的,8.723062515258789
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",4,副手,14.052192687988281
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",5,之后,8.575654983520508
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",6,",",13.935734748840332
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",7,那位,6.43007755279541
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",8,助理,6.4400634765625
